Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence3.2; - ;13A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id76;Мужской;20;Основное общее;IT;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id77;Женский;21;Неоконченное высшее;Иностранные языки;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id78;Мужской;20;Неоконченное высшее;Маркетинг;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id80;Мужской;20;Неоконченное высшее;Учеба;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id83;Мужской;25;Неоконченное высшее;IT;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id84;Мужской;21;Неоконченное высшее;Инженерное дело;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id86;Женский;20;Неоконченное среднее профессиональное;Бухгалтерский учет;sentence22.2; - ;14B;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id87;Женский;21;Среднее профессиональное;Легкая промышленость;sentence22.2; - ;14B;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id88;Женский;21;Среднее профессиональное;Сфера обслуживания;sentence22.2; - ;14B;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id89;Мужской;25;Среднее профессиональное;Инженерное дело;sentence22.2; - ;14B;прямой
